Customers,Amount,Month,Year
72.04,72.04,8,2021
80.39,80.39,7,2021
75.09,75.09,6,2021
70.14,70.14,5,2021
68.17,68.17,4,2021
71.02,71.02,3,2021
64.89,64.89,2,2021
71.3,71.3,1,2021
77.8,77.8,1,2022
69.22,69.22,2,2022
68.41,68.41,3,2022
66.03,66.03,4,2022
78.71,78.71,5,2022
63.54,63.54,6,2022
63.66,63.66,7,2022
4.61,4.61,12,2021
3.85,3.85,11,2021
3.95,3.95,10,2021
3.32,3.32,9,2021
2.73,2.73,8,2021
2.09,2.09,7,2021
4.92,4.92,1,2022
5.49,5.49,2,2022
7.3,7.3,3,2022
8.41,8.41,4,2022
10.06,10.06,5,2022
8.72,8.72,6,2022
10.19,10.19,7,2022
144.16,144.16,12,2021
112.28,112.28,11,2021
84.71,84.71,10,2021
69.81,69.81,9,2021
63.77,63.77,8,2021
49.15,49.15,7,2021
40.95,40.95,6,2021
35.72,35.72,5,2021
40.84,40.84,4,2021
45.71,45.71,3,2021
41.56,41.56,2,2021
43.7,43.7,1,2021
179.22,179.22,1,2022
280.57,280.57,2,2022
33.22,33.22,3,2022
28.5,28.5,4,2022
23.77,23.77,5,2022
23.99,23.99,6,2022
27.3,27.3,7,2022
13817.16,13817.16,12,2021
12277.85,12277.85,11,2021
12561.25,12561.25,10,2021
9614.36,9614.36,9,2021
9040.43,9040.43,8,2021
8121.41,8121.41,7,2021
6151.57,6151.57,6,2021
6142.78,6142.78,5,2021
5419.88,5419.88,4,2021
5389.97,5389.97,3,2021
4229.11,4229.11,2,2021
4247.83,4247.83,1,2021
"14,189.86","14,189.86",1,2022
"13,364.09","13,364.09",2,2022
"16,136.11","16,136.11",3,2022
"16,372.92","16,372.92",4,2022
"18,174.61","18,174.61",5,2022
"17,583.25","17,583.25",6,2022
"19,716.43","19,716.43",7,2022
190.75,190.75,12,2021
185.2,185.2,11,2021
198.18,198.18,10,2021
180.79,180.79,9,2021
187.52,187.52,8,2021
189.67,189.67,7,2021
170.57,170.57,6,2021
160.73,160.73,5,2021
164.93,164.93,4,2021
178.13,178.13,3,2021
167.48,167.48,2,2021
178.75,178.75,1,2021
186.79,186.79,1,2022
173.63,173.63,2,2022
185.52,185.52,3,2022
175.45,175.45,4,2022
186.33,186.33,5,2022
171.69,171.69,6,2022
179.27,179.27,7,2022
26.08,26.08,12,2021
24.11,24.11,11,2021
27.43,27.43,10,2021
24.37,24.37,9,2021
23.12,23.12,8,2021
24.26,24.26,7,2021
21.57,21.57,6,2021
20.9,20.9,5,2021
22.37,22.37,4,2021
23.57,23.57,3,2021
17.66,17.66,2,2021
20.5,20.5,1,2021
26.5,26.5,1,2022
23.93,23.93,2,2022
29.32,29.32,3,2022
85.62,86.2,12,2021
115.42,115.42,11,2021
98.84,99.23,10,2021
70.24,70.24,9,2021
81.7,81.74,8,2021
55.42,55.55,7,2021
27.44,27.44,6,2021
14.69,14.73,5,2021
43.32,43.58,4,2021
79.28,79.58,3,2021
59.97,59.97,2,2021
60.39,60.65,1,2021
61.95,62.08,1,2022
70.43,70.43,2,2022
91.66,93.02,3,2022
128.13,128.43,4,2022
116.54,116.55,5,2022
99.12,99.12,6,2022
116,116.01,7,2022
3.07,3.07,12,2021
2.37,2.37,11,2021
2.86,2.86,9,2021
2.95,2.95,1,2022
2.83,2.83,2,2022
3.29,3.29,3,2022
3.02,3.02,4,2022
3.35,3.35,5,2022
2.7,2.7,6,2022
2.86,2.86,7,2022
3.87,3.87,6,2022
4.89,4.89,7,2022
13,13,3,2022
7.73,7.73,4,2022
6.12,6.12,5,2022
6.94,6.94,6,2022
11.06,11.06,7,2022
99.96,99.96,12,2021
91.94,91.94,11,2021
90.5,90.5,10,2021
79.44,79.44,9,2021
74.71,74.71,8,2021
68.82,68.82,7,2021
49.99,49.99,6,2021
38.99,38.99,5,2021
39.57,39.57,4,2021
38.85,38.85,3,2021
30.55,30.55,2,2021
26.09,26.09,1,2021
109.25,109.25,1,2022
108.21,108.21,2,2022
360.96,360.96,3,2022
375.64,375.64,4,2022
474.12,474.12,5,2022
494.21,494.21,6,2022
539.55,539.55,7,2022
2.09,2.09,12,2021
1.81,1.81,11,2021
1.75,1.75,10,2021
1.63,1.63,9,2021
1.38,1.38,8,2021
1.13,1.13,7,2021
1.09,1.09,6,2021
1.23,1.23,5,2021
1.18,1.18,4,2021
1.28,1.28,3,2021
1.14,1.14,2,2021
1.08,1.08,1,2021
2.79,2.79,1,2022
3.25,3.25,2,2022
3.47,3.47,3,2022
3.26,3.26,4,2022
3.83,3.83,5,2022
3.17,3.17,6,2022
4.26,4.26,7,2022
1.49,1.49,3,2022
1.06,1.06,4,2022
1.01,1.01,5,2022
2.92,2.92,12,2021
2.19,2.19,11,2021
1.26,1.26,10,2021
0.72,0.72,9,2021
3.69,3.69,1,2022
3.8,3.8,2,2022
4,4,3,2022
4.45,4.45,4,2022
4.68,4.68,5,2022
5.3,5.3,6,2022
63.8,63.8,1,2021
2.62,2.62,9,2021
5.91,5.91,3,2022
3.31,3.31,4,2022
2.41,2.41,5,2022
3.87,3.87,6,2022
5.1,5.1,7,2022
302989.79,302989.79,12,2021
283357.99,283357.99,11,2021
287491.46,287491.46,10,2021
250393.65,250393.65,9,2021
244453.05,244453.05,8,2021
230847.54,230847.54,7,2021
207287.73,207287.73,6,2021
187136.95,187136.95,5,2021
190106.71,190106.71,4,2021
201185.14,201185.14,3,2021
174455.33,174455.33,2,2021
177791.47,177791.47,1,2021
"2,98,267.07","2,98,267.07",1,2022
"2,91,273.46","2,91,273.46",2,2022
"3,38,873.25","3,38,873.25",3,2022
"3,44,791.35","3,44,791.35",4,2022
"3,65,989.27","3,65,989.27",5,2022
"3,55,137.20","3,55,137.20",6,2022
"3,66,669.09","3,66,669.09",7,2022
472.71,472.71,3,2022
376.18,376.18,4,2022
335.28,335.28,5,2022
416.73,416.73,6,2022
290.31,290.31,7,2022
1250.74,1250.74,12,2021
1030.59,1030.59,11,2021
1082.99,1082.99,10,2021
772.08,772.08,9,2021
676.72,676.72,8,2021
588.25,588.25,7,2021
408.61,408.61,6,2021
274.77,274.77,5,2021
243.86,243.86,4,2021
244.17,244.17,3,2021
208.06,208.06,2,2021
244.03,244.03,1,2021
"1,366.89","1,366.89",1,2022
"1,370.03","1,370.03",2,2022
"1,624.54","1,624.54",3,2022
"1,759.12","1,759.12",4,2022
"1,981.11","1,981.11",5,2022
"2,066.22","2,066.22",6,2022
"2,341.28","2,341.28",7,2022
53.64,53.73,12,2021
46.94,46.98,11,2021
