Customers,Amount,Month,Year
2.22,2.22,4,2022
4.4,4.4,5,2022
3.32,3.32,6,2022
2.08,2.08,7,2022
167.6,167.6,12,2021
178.53,178.53,11,2021
223.98,223.98,10,2021
155.2,155.2,9,2021
150.94,150.94,8,2021
137.37,137.37,7,2021
128.37,128.37,6,2021
110.65,110.65,5,2021
135.79,135.79,4,2021
144.93,144.93,3,2021
119.4,119.4,2,2021
99.94,99.94,1,2021
182.27,182.27,1,2022
166.72,166.72,2,2022
197.01,197.01,3,2022
198.34,198.34,4,2022
211.85,211.85,5,2022
199.8,199.8,6,2022
208.03,208.03,7,2022
2.42,2.42,2,2022
3.9,3.9,3,2022
3.88,3.88,4,2022
4.43,4.43,5,2022
3.47,3.47,6,2022
4.55,4.55,7,2022
188.78,188.78,12,2021
149.38,149.38,11,2021
62.31,62.31,9,2021
44.7,44.7,8,2021
45.33,45.33,7,2021
42.44,42.44,6,2021
48.15,48.15,5,2021
47.62,47.62,4,2021
38.17,38.17,3,2021
32.41,32.41,2,2021
36.44,36.44,1,2021
205.83,205.83,1,2022
207.09,207.09,2,2022
239.78,239.78,3,2022
242.4,242.4,4,2022
294.98,294.98,5,2022
429.06,429.06,6,2022
502,502,7,2022
104.19,104.19,10,2021
5689.57,5689.75,12,2021
6170.96,6171.08,11,2021
7660.21,7660.27,10,2021
4994.32,4994.33,9,2021
5702.87,5702.87,8,2021
4811.73,4811.73,7,2021
5227.04,5227.04,6,2021
4486.54,4486.54,5,2021
5120.17,5120.17,4,2021
4831.58,4831.58,3,2021
3396.01,3396.01,2,2021
3207.95,3207.95,1,2021
"5,816.96","5,817.16",1,2022
"6,551.55","6,551.61",2,2022
"8,746.74","8,746.74",3,2022
"10,246.99","10,246.99",4,2022
"10,760.55","11,760.16",5,2022
"9,889.56","11,147.17",6,2022
"13,868.41","15,236.04",7,2022
78.43,78.43,12,2021
66.62,66.62,11,2021
61.62,61.62,10,2021
46.94,46.94,9,2021
19.01,19.01,8,2021
38.3,38.3,7,2021
60.44,60.44,6,2021
73.16,73.16,5,2021
51.22,51.22,4,2021
18.56,18.56,3,2021
0.63,0.63,2,2021
77.12,77.12,1,2022
89.7,89.7,2,2022
105.39,105.39,3,2022
103.34,103.34,4,2022
88.95,88.95,5,2022
58.31,58.31,6,2022
21.38,21.38,7,2022
